GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,InvalidBuyerIdReponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,InvalidBuyerIdExceptionMapper,21,0,0,0,5,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,InvalidDateExceptionMapper,21,0,0,0,5,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,TitelLengthResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,InvalidAmountResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,InvalidAmountExceptionMapper,21,0,0,0,5,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,TitelLengthExceptionMapper,21,0,0,0,5,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,FieldEmptyExceptionMapper,21,0,0,0,5,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,BiddingEndedResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,InvalidReviewIdReponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,InvalidDateTimeExceptionMapper,21,0,0,0,5,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,GlobalExceptionResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,RatingResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,FieldEmptyResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,RatingExceptionMapper,21,0,0,0,5,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,BiddingEndedExceptionMapper,21,0,0,0,5,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,InvalidDateTimeResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.health,HealthRessource,8,0,0,0,3,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.seller.api.assemblers,SellerDtoAssembler,0,78,0,8,0,18,0,8,0,4
e-baie,ca.ulaval.glo2003.ebaie.buyer.api,BuyerRessource,53,0,0,0,13,0,3,0,3,0
e-baie,ca.ulaval.glo2003.ebaie.buyer.entities,Buyer,8,21,0,0,4,8,2,4,2,4
e-baie,ca.ulaval.glo2003.ebaie.buyer.entities,BuyerFactory,0,20,0,0,0,6,0,3,0,3
e-baie,ca.ulaval.glo2003.ebaie.buyer.api.dto,BuyerBiddingResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.buyer.api.dto,BuyerRequest,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.buyer.api.dto,BuyerResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.buyer.api.dto,BuyerObtainedResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.buyer.api.dto,BuyerResponseBuyer,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.review.api.assembler,ReviewDtoAssembler,5,117,3,9,1,28,3,6,0,3
e-baie,ca.ulaval.glo2003.ebaie.seller.infrastructure.persistence,SellerRepositoryImp,0,54,0,4,0,12,0,7,0,5
e-baie,ca.ulaval.glo2003.ebaie.seller.application.dto,SellerCreationDto,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.seller.application.dto,SellerDto,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.offer.api.assemblers,OfferDtoAssembler,0,151,2,8,0,33,2,7,0,4
e-baie,ca.ulaval.glo2003.ebaie.review.api.dtos,ReviewResponseReview,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.review.api.dtos,ReviewRequest,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.review.application,ReviewUseCase,43,0,0,0,10,0,3,0,3,0
e-baie,ca.ulaval.glo2003.ebaie.offer.infrastructure.persistence,OfferRepositoryImp,0,54,0,4,0,12,0,7,0,5
e-baie,ca.ulaval.glo2003.ebaie,EBaieMain,48,0,6,0,13,0,5,0,2,0
e-baie,ca.ulaval.glo2003.ebaie,CreationUrl,49,0,0,0,18,0,8,0,8,0
e-baie,ca.ulaval.glo2003.ebaie.buyer.infrastructure.persistance,BuyerRepositoryImplementation,0,54,0,4,0,12,0,7,0,5
e-baie,ca.ulaval.glo2003.ebaie.seller.entities,Seller,4,39,0,0,2,16,1,8,1,8
e-baie,ca.ulaval.glo2003.ebaie.seller.entities,SellerFactory,0,21,0,0,0,6,0,3,0,3
e-baie,ca.ulaval.glo2003.ebaie.seller.application,SellerUseCase,26,22,0,0,5,7,2,2,2,2
e-baie,ca.ulaval.glo2003.ebaie.review.application.dto,ReviewDto,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.review.application.dto,ReviewCreationDto,0,3,0,0,0,1,0,1,0,1
